	제목	평점	예매율	개봉
1	엘리멘탈	8.6	22.1%	23.06.14
2	인디아나 존스: 운명의 다이얼	8.9	15.8%	23.06.28
3	범죄도시3	6.6	12.6%	23.05.31
4	귀공자	8.2	12.4%	23.06.21
5	스파이더맨: 어크로스 더 유니버스	8.6	11.6%	23.06.21
6	2022 영탁 단독 콘서트 - 탁쇼	0.0	8.2%	23.06.28
7	플래시	7.9	2.8%	23.06.14
8	애스터로이드 시티	6.0	1.9%	23.06.28
9	여름날 우리	8.0	1.9%	23.06.28
10	명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인	8.9	1.7%	23.06.23
11	샤이닝	8.0	0.8%	23.06.28
12	악마들	9.0	0.7%	23.07.05
13	트랜스포머: 비스트의 서막	7.2	0.5%	23.06.06
14	수라	9.8	0.5%	23.06.21
15	가디언즈 오브 갤럭시: Volume 3	8.7	0.4%	23.05.03
16	파이어하트	5.5	0.4%	23.06.28
17	라방	9.3	0.3%	23.06.28
18	비의도적 연애담 스페셜	10.0	0.2%	23.06.14
19	1986 그 여름, 그리고 고등어통조림	8.9	0.2%	23.07.05
20	극장판 피노키오 위대한 모험	10.0	0.2%	23.07.13
